(Bug, Grass, Poison, Psychic, None)
(Dragon, Dragon, None, None, None)
(Electric, Flying, Water, None, None)
(Fighting, Ice, Normal, Rock, None)
(Fire, Bug, Grass, Ice, None)
(Flying, Bug, Fighting, Grass, None)
(Ghost, None, None, None, None)
(Grass, Ground, Rock, Water, None)
(Ground, Electric, Fire, Poison, Rock)
(Ice, Dragon, Flying, Grass, Ground)
(Normal, None, None, None, None)
(Poison, Bug, Grass, None, None)
(Psychic, Fighting, Poison, None, None)
(Rock, Bug, Fire, Flying, Ice)
(Water, Fire, Ground, Rock, None)
